                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4772,                 3.0998,                 1.7291,                0.24973,                0.99333,                0.63773,                0.32419,                 1.3801,                 2.8039,                 1.6016,             0.00046676,             0.00046676,             0.00046676
                      2,                 1.3807,                 2.3414,                  1.501,                0.51916,                0.83238,                0.62136,                 0.3461,                 1.4122,                 2.8049,                 1.6049,             0.00094831,             0.00094831,             0.00094831
                      3,                 1.3515,                 1.9166,                 1.4403,                0.26707,                   0.74,                0.57908,                0.31071,                 1.2478,                 2.8576,                 1.4693,              0.0014279,              0.0014279,              0.0014279
                      4,                 1.4329,                 1.8966,                  1.453,                0.75305,                0.81518,                0.81845,                0.35087,                 1.7972,                 2.3076,                  1.842,              0.0016571,              0.0016571,              0.0016571
                      5,                  1.473,                 1.8209,                 1.4084,                0.92264,                0.96543,                0.96798,                0.55534,                 1.2594,                 5.0575,                 1.5694,              0.0016571,              0.0016571,              0.0016571
                      6,                  1.439,                 1.6812,                 1.4321,                0.95574,                0.98667,                0.99021,                0.56194,                  1.469,                 1.8604,                 1.5034,              0.0016538,              0.0016538,              0.0016538
                      7,                 1.3586,                 1.5573,                 1.3425,                0.97594,                0.94006,                0.97688,                0.60012,                 1.3651,                  1.801,                 1.4807,              0.0016505,              0.0016505,              0.0016505
                      8,                 1.4322,                 1.6065,                 1.3903,                 0.9884,                0.97711,                0.99461,                0.65181,                    1.2,                 1.5013,                  1.373,              0.0016472,              0.0016472,              0.0016472
                      9,                  1.357,                  1.518,                 1.3617,                0.99103,                      1,                0.99474,                0.62672,                  1.277,                  1.439,                 1.4435,              0.0016439,              0.0016439,              0.0016439
                     10,                 1.4896,                 1.6651,                  1.412,                0.91153,                0.92822,                0.99341,                0.59951,                 1.3179,                 1.5122,                 1.4397,              0.0016406,              0.0016406,              0.0016406
